NO.,LAST NAME,FIRST NAME,AGE,ADDRESS,CITY,STATE,ZIP,EMAIL,CLUB,DIV,SEX,BIRTHDATE,TSHIRT,PHONE,PLACE,DIVPLACE,DIVTOTAL,SEXPLACE,SEXTOTAL,TIME,PACE2,POINTS
16,Swift,Paul,,125 Cary Sve.,Swift Town,KY,19346,,Swift RR,,M,  /  /,S,(   )   -,24,1,2,15,35,1:18:42,12:41,
105,Swift,Mary,61,125 Cary Ave.,Swift Town,KY,19346,,Swift RR,F5099,F,03/09/45,M,(   )   -,36,4,4,9,11,1:24:15,13:34,
17,Merritt,Ted,35,108 Burts Road,Pocono,PA,17890,,,M3039,M,06/26/70,L,(   )   -,26,4,7,17,35,1:20:19,12:56,
18,Ryan,Jim,54,"Box 199, RD#2",Moorestown,NY,13469,,Vernon RC,M5099,M,12/31/51,X,(   )   -,15,6,20,10,35,1:15:39,12:11,
19,Derry,Dave,99,RR #3,Thompsonville,RI,10456,,,M5099,M,  /  /,S,(   )   -,44,5,6,32,35,1:28:52,14:19,
20,Bender,Eugene,60,"RD #3, Echo Road",Delaware,NJ,12908,,MMRC,M5099,M,11/12/45,M,(   )   -,31,13,20,22,35,1:22:14,13:15,
106,Bender,Anne,59,"RD #3, Echo Road",Delaware,NJ,12908,,,F5099,F,04/04/47,M,(   )   -,8,1,4,3,11,1:11:37,11:32,
107,Blakely,Jenny,50,10 Main Street,Mount Morrow,NY,13460,,MMRC,F5099,F,05/19/56,M,(   )   -,12,3,6,4,11,1:13:35,11:51,
21,Smith,John,37,118 Oak St.,Carbondale,PA,12987,,MMRC,M3039,M,01/02/69,M,(   )   -,16,2,7,11,35,1:15:54,12:14,
22,Meyer,Keith,57,Jensen,Johnson City,OH,15789,,,M5099,M,02/28/49,L,(   )   -,34,16,20,25,35,1:23:10,13:24,
23,Runner,Dick,71,512 Main Street,Norton,DE,12987,,,M5099,M,03/31/35,L,(   )   -,29,11,20,20,35,1:21:40,13:09,
24,Williams,Pete,54,1 Corner Terrace,Vernon,NY,13460,,Vernon RC,M5099,M,09/29/51,L,(   )   -,40,18,20,28,35,1:27:07,14:02,
108,Ide,Tami,66,78 Cedar Way,Appleton,NY,17876,,,F5099,F,12/01/39,S,(   )   -,19,3,4,7,11,1:17:50,12:32,
109,Jones,Judy,51,29 Hillside Terrace,Issacstown,PA,14787,,,F5099,F,05/24/55,S,(   )   -,4,2,6,2,11,1:10:05,11:18,
25,Maxel,Ralph,33,54 Ross ST,Pembrooke,NY,18476,,Pemmys,M3039,M,01/31/73,S,(   )   -,46,7,7,33,35,1:32:08,14:51,
26,Walker,Jim,60,12 Muddy Lane,Mudville,NJ,18765,,,M5099,M,12/25/45,M,(   )   -,28,10,20,19,35,1:20:31,12:58,
27,Weaver,Dwight,50,"RD #3, Box 19-A",Stumbleton,WI,17654,,,M5099,M,10/31/55,L,(   )   -,5,1,6,3,35,1:10:21,11:20,
28,Vicky,Gabe,62,4 E. Main,Dwighton,NY,13287,,,M5099,M,08/01/43,M,(   )   -,14,5,20,9,35,1:15:29,12:10,
29,Olson,Andrew,36,19 West Ave.,Westtown,NY,12387,,Nite Serv,M3039,M,07/27/69,L,(   )   -,7,1,7,4,35,1:10:47,11:24,
30,White,Joe,62,4th Ave.,Middletown,MD,16583,,,M5099,M,09/20/43,M,(   )   -,9,3,20,5,35,1:11:49,11:34,
31,Thompson,Adele,43,112 Water St.,Afton,NY,13298,,,F4049,F,11/30/62,S,(   )   -,22,5,6,8,11,1:18:22,12:38,
32,Watson,George,67,19 Main Street,Samsonville,NY,13290,,,M5099,M,02/01/39,M,(   )   -,3,2,20,2,35,1:09:59,11:17,
233,Gill,Don,,124 North St.,Vernon,NY,13280,,Nicely,,M,  /  /,S,(   )   -,27,2,2,18,35,1:20:24,12:57,
112,Bastian,Ravena,,19 South Ave.,Bellington,PA,17654,,,,F,  /  /,L,(   )   -,38,6,6,10,11,1:25:43,13:49,
113,Benson,Clark,,26 Highland,Apalachin,NY,13732,,,,M,  /  /,M,(   )   -,33,15,20,24,35,1:22:39,13:19,
114,Jewell,John,,100 Marple St.,Newtown,PA,19078,,,,M,  /  /,M,(   )   -,48,20,20,35,35,1:35:18,15:21,
515,Moore,Jim,,123 Moore Drive,Moorestown,NY,13907,,,,M,  /  /,M,(   )   -,42,6,7,30,35,1:27:54,14:10,
111,Jester,Tom,53,"RD #1, Box 234",Vernon,NY,13468,,Vernon RC,M5099,M,08/14/52,M,(   )   -,11,4,20,7,35,1:13:07,11:47,
53,Riel,Tom,4,9 George ST.,Kane,NY,13468,,,,,,,(   )   -,6,,,,,1:10:41,11:23,
,,,4,,Vernon,NY,13468,,,,,,,(   )   -,,,,,,,,
,,,4,,Vernon,NY,13468,,,,,,,(   )   -,,,,,,,,
300,john,snitko,52,,ny,NY,,,,,,,,(   )   -,,,,,,,,
,Winters,Paul,36,89 Fairview Ave.,Mount Morrow,,,,,,,,,(   )   -,,,,,,,,
,,dddd,,,,,,,,,,,,(   )   -,,,,,,,,
,,,,,,,,,,,,,,(   )   -,,,,,,,,
778,alal,,,,,,,,,,,,,(   )   -,,,,,,,,
15,,,,,,,,,,,,,,(   )   -,,,,,,,,
26,,,,,,,,,,,,,,(   )   -,,,,,,,,
201,keith,steven,51,723 Lloyd St,Ft Walton Beach,FL,32547,kei@eventtiming.com,med,M5099,M,04/06/55,X,(850)803-8740,,,,,,,,
202,Long,Shelly,34,644 Sunset Blvd,Crestview,FL,32536,shell@cox.net,,F3039,F,,M,(   )   -,,,,,,,,
301,jjj,sssss,34,543245,may,NY,,,,,,,,(   )   -,,,,,,,,
